Calendar Year,Payer,Delivery System,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,9987
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,176665
2007,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,13
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),161398
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),18361
2007,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,6906
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",184919
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,13
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1733
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,177171
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,6906
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2588
2007,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,4556
2007,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,71283
2007,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,2
2007,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),63349
2007,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),8122
2007,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,4370
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",75159
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,2
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",680
2007,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,70313
2007,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,4370
2007,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1158
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,3093
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,48249
2007,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,12
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),43659
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),5247
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,2448
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",50736
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,12
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",606
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,48094
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,2448
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),812
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,10915
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,218702
2007,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,17
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),203402
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),18273
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,7959
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",227791
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,17
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1826
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,219420
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,7959
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2255
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,9724
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,172368
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,22
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),158526
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),17349
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,6239
2008,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",180446
2008,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,22
2008,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1646
2008,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,173449
2008,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,6239
2008,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2426
2008,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,4571
2008,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,72733
2008,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,8
2008,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),65442
2008,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),8042
2008,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,3828
2008,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",76595
2008,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,8
2008,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",709
2008,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,72389
2008,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,3828
2008,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1095
2008,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,2835
2008,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,44057
2008,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,10
2008,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),40459
2008,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),4537
2008,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,1906
2008,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",46344
2008,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,10
2008,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",548
2008,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,44263
2008,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,1906
2008,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),733
2008,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,10474
2008,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,212198
2008,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,25
2008,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),198515
2008,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),16934
2008,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,7248
2008,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",221008
2008,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,25
2008,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1664
2008,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,213392
2008,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,7248
2008,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2057
2009,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,9148
2009,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,163053
2009,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,12
2009,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),151216
2009,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),15839
2009,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,5158
2009,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",170638
2009,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,12
2009,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1563
2009,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,164823
2009,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,5158
2009,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2232
2009,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,4570
2009,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,74193
2009,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,8
2009,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),67945
2009,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),7832
2009,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,2994
2009,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",78063
2009,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,8
2009,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",700
2009,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,74712
2009,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,2994
2009,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1065
2009,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,2656
2009,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,41475
2009,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,13
2009,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),38567
2009,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),4155
2009,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,1422
2009,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",43579
2009,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,13
2009,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",552
2009,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,42014
2009,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,1422
2009,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),708
2009,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,9803
2009,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,199822
2009,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,18
2009,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),187310
2009,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),15422
2009,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,6911
2009,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",208069
2009,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,18
2009,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1556
2009,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,200832
2009,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,6911
2009,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1900
2010,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,8703
2010,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,156650
2010,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,11
2010,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),146147
2010,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),14539
2010,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,4678
2010,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",163893
2010,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,11
2010,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1460
2010,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,158641
2010,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,4678
2010,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2045
2010,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,5220
2010,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,80203
2010,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,9
2010,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),73945
2010,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),8177
2010,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,3310
2010,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",84619
2010,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,9
2010,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",804
2010,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,80942
2010,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,3310
2010,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1180
2010,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,2403
2010,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,36969
2010,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,9
2010,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),34539
2010,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),3579
2010,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,1263
2010,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",38863
2010,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,9
2010,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",509
2010,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,37492
2010,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,1263
2010,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),626
2010,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,9395
2010,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,189818
2010,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,20
2010,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),179756
2010,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),14233
2010,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,5244
2010,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",197751
2010,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,20
2010,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1462
2010,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,192221
2010,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,5244
2010,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1768
2011,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,8084
2011,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,144365
2011,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,9
2011,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),134875
2011,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),13325
2011,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,4258
2011,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",151014
2011,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,9
2011,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1435
2011,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,146201
2011,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,4258
2011,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1999
2011,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,5321
2011,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,86725
2011,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,5
2011,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),80189
2011,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),8490
2011,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,3372
2011,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",91227
2011,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,5
2011,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",819
2011,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,87459
2011,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,3372
2011,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1220
2011,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,2322
2011,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,37739
2011,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,12
2011,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),35365
2011,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),3520
2011,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,1188
2011,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",39590
2011,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,12
2011,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",471
2011,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,38273
2011,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,1188
2011,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),612
2011,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,9124
2011,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,186376
2011,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,18
2011,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),178241
2011,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),13522
2011,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,3755
2011,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",194050
2011,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,18
2011,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1450
2011,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,190024
2011,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,3755
2011,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1739
2012,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,7462
2012,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,137488
2012,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,12
2012,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),129016
2012,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),12275
2012,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,3671
2012,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",143564
2012,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,12
2012,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1386
2012,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,139430
2012,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,3671
2012,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1861
2012,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,5738
2012,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,92828
2012,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,12
